,CustomerID,ItemCategory1,Item_Cat_1_count,Item_Cat_1_amount
495,1000061,5,6,38659
496,1000061,8,1,8032
497,1000062,1,51,646352
498,1000062,10,6,117775
499,1000062,11,2,10519
500,1000062,12,5,6362
501,1000062,13,5,4155
502,1000062,14,3,41244
503,1000062,15,4,68193
504,1000062,16,9,137157
505,1000062,17,1,13013
506,1000062,18,5,15291
507,1000062,2,9,108134
508,1000062,3,2,24388
509,1000062,5,70,438205
510,1000062,6,14,205405
511,1000062,8,94,667315
512,1000062,9,1,9628
513,1000063,1,11,151126
514,1000063,10,1,23548
515,1000063,11,4,18238
516,1000063,15,2,25771
517,1000063,16,3,41904
518,1000063,2,1,12773
519,1000063,3,4,51064
520,1000063,4,1,817
521,1000063,5,22,142611
522,1000063,8,14,85908
523,1000064,1,10,171224
524,1000064,11,2,12112
525,1000064,16,1,12710
526,1000064,5,1,7113
527,1000064,8,1,7789
528,1000065,1,36,611931
529,1000065,16,2,37195
530,1000065,2,4,43122
531,1000065,3,1,13253
532,1000065,4,1,2764
533,1000065,5,11,82552
534,1000065,6,1,12022
535,1000065,8,10,89351
536,1000066,1,7,119969
537,1000066,15,1,12701
538,1000066,2,1,10133
539,1000066,3,1,5688
540,1000066,4,1,1481
541,1000066,5,6,47097
542,1000066,8,3,27841
543,1000067,1,2,38687
544,1000067,11,2,12205
545,1000067,5,9,58417
546,1000067,6,4,80626
547,1000067,8,19,162407
548,1000068,1,3,34436
549,1000068,12,1,1725
550,1000068,15,1,17100
551,1000068,16,1,16815
552,1000068,2,1,16314
553,1000068,3,3,34915
554,1000068,4,1,3448
555,1000068,5,24,153588
556,1000068,8,7,49836
557,1000069,1,3,38758
558,1000069,2,1,6426
559,1000069,5,7,47759
560,1000069,6,1,20462
561,1000069,8,23,202025
562,1000070,1,4,55197
563,1000070,11,2,9133
564,1000070,15,1,4976
565,1000070,16,1,20832
566,1000070,2,1,15937
567,1000070,4,3,6327
568,1000070,5,7,49243
569,1000070,6,1,16210
570,1000070,8,5,35900
571,1000071,1,4,59218
572,1000071,2,1,12746
573,1000071,5,7,47222
574,1000071,6,1,16024
575,1000071,8,3,21895
576,1000072,1,4,62008
577,1000072,16,2,32718
578,1000072,5,17,105607
579,1000072,8,3,27586
580,1000073,1,80,1048111
581,1000073,11,3,13806
582,1000073,13,1,583
583,1000073,15,1,12457
584,1000073,16,1,12875
585,1000073,2,5,45949
586,1000073,3,6,62132
587,1000073,4,2,4892
588,1000073,5,28,176689
589,1000073,6,1,12562
590,1000073,8,5,38209
